,transcript_id,question_addressee,justice,question_text
14,2024.23-621-t01,petitioner,Amy Coney Barrett," Just one question about your answer to Justice Alito. What would be the basis for that equitable jurisdiction?  I mean, I understood your position to be formalist and kind of focusing on the language of the statute, and the two definitions that you just offered kind of go to that formal definition of conclusiveness and that there might be reasons why we treat a consent decree as the equivalent. But where does this equitable authority come to it?  It seems like it pretty significantly undercuts your argument."
15,2024.23-621-t01,petitioner,Ketanji Brown Jackson," I read your brief as asking for categorical preclusion. In other words, you're saying PIs can never as opposed to sometimes. Is that right?"
16,2024.23-621-t01,petitioner,Ketanji Brown Jackson," Even though -- has any court ever held that?  I thought all the courts said maybe, sometimes."
17,2024.23-621-t01,petitioner,Ketanji Brown Jackson," For those of us who think about legislative history, what  --what do you do with the fact that in Hanrahan, we  --we said that the legislative history demonstrates  that a plaintiff may sometimes prevail without having obtained a favorable final judgment?  And  we were looking at the House report that seemed to say that."
18,2024.23-621-t01,respondent,Clarence Thomas," Do you think that the statutes in which Congress requires that there be a final order before you can -- before you can have a prevailing party, do you think that's just simply superfluous?"
19,2024.23-621-t01,respondent,"John G. Roberts, Jr."," Well, you say, if I understand it, you don't have to get final judgment on all the claims, right?  You just need to prevail on one. Now, if you prevail on  one, can you get the attorney fees that are associated with 2, 3, and 4?"
20,2024.23-621-t01,respondent,Sonia Sotomayor," What do you do with the case that Justice Jackson posed, which is common?  I want to -- I want to participate in this protest, this parade  --"
21,2024.23-621-t01,respondent,Neil Gorsuch," So, for example, the Chief -- Chief Justice's hypothetical, after the parade, I could ask for a trial on the merits in -- in accompanying the PI and a final judgment could be issued at that time?"
22,2024.23-621-t01,respondent,Neil Gorsuch," -- on at least that claim on which you would be prevailing, right?"
23,2024.23-621-t01,respondent,Ketanji Brown Jackson, And  --and isn't that the statute we're talking about here? Right?
24,2024.23-621-t01,respondent,Ketanji Brown Jackson," Can I just ask about Justice Gorsuch's example?  What if I don't want to spend the time and additional money to litigate this through to a declaratory judgment or a future?  What if I just want to march in  the parade tomorrow?  I'm a religious organization, for example. I don't  --you know, I agree with traditional marriage, and tomorrow is the LGBTQ parade and I want to march in it. I want to be able to be there. I  -- I'm not making a whole thing out of it."
25,2024.23-621-t01,respondent,Elena Kagan," Ms. Maley said that she didn't know of a circuit that it accept ed -- that had accepted this categorical position, if it's a preliminary injunction, there are no fees. Do you know of any circuit that's accepted this categorical position?"
26,2024.23-621-t01,respondent,Elena Kagan," -- so now there's -- there's a uniform rule. You don't know of anything  --any court that's gone the other way. You know what?  It's an interesting thing. It seems that this comes up all the time, and it seems as though it's come up frequently just in recent years. When I was talking to my clerks about this, you know, several had confronted this issue with respect to COVID litigation, where  people went to courts and they asked for injunctions from various kinds of COVID policies, and then, you know, in the end, those  policies were changed or were scrapped or were abandoned in some way. So it seems as though there's quite a lot of recent law that cuts against you here from circuits, like, pretty much all across the U.S."
27,2024.23-621-t01,respondent,Elena Kagan," Okay. I don't think that that's what I was asking about. I was asking really, you know, do you have any law out there on your side?"
28,2024.23-621-t01,respondent,Brett M. Kavanaugh," Well, that  -- that raises the question for me, why -- why do you think they've been not seeing the light?"
29,2024.23-621-t01,respondent,"John G. Roberts, Jr."," Thank you, counsel. Justice Thomas, anything further? Justice Alito?"
30,2024.23-621-t01,respondent,"Samuel A. Alito, Jr."," The Respondents argue that there is a historical background of a venerable equitable tradition of awarding interim costs, including for a preliminary injunction, and that, if accepted, would perhaps undercut your historical argument. Do you want to say something about that?"
31,2024.23-621-t01,respondent,Sonia Sotomayor," Just to be clear, Buckhannon, there was no court -ordered relief whatsoever, correct?"
32,2024.23-621-t01,respondent,Sonia Sotomayor," And, as I read the decision, that was mostly the focus of the decision?"
33,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," Well, it does seem to me that the courts then have to figure out, if prevailing is not going to mean final judgment on  -- on the merits for at least one claim, then it must be a pretty ambiguous thing where you -- what constitutes prevailing? Now you say, well, in a preliminary injunction case, where there's nothing going on beyond the time when the preliminary injunction does its work, maybe that's easy. But there are all sorts of other ways. If ""prevailing"" doesn't mean you actually have to win, I mean, what falls short of that?"
34,2024.23-621-t01,petitioner,Elena Kagan," Yes and no. I mean, you know, if you -- let me give you a hypothetical and -- and let's take it out of this state context. Let's just say there are two neighbors, and one of them is pouring pollutants into a stream that goes onto the other neighbor's property, right?  And so the injured neighbor sues and he sues for a permanent injunction, but, first, he sues for a preliminary injunction. And a preliminary injunction is gotten, all right?  He gets  --he gets  -- and -- and -- and for the next three years, while the court decides the case, he has a very valuable thing, which is the neighbor has not been able to pour pollutants into his stream anymore, right?  But then the court changes its mind and the court says we're not going to grant the permanent injunction, right?  And -- and the -- the plaintiff says, well, I got something really significant. I got three years' worth of a -- of a preliminary injunction and that was fantastic. So I should get fees for that, the same way I get fees for winning one claim out of three, right?  Does he get fees?"
35,2024.23-621-t01,petitioner,Elena Kagan," And -- and even though, like, Sole does say  --I mean, I take the point that Sole reserved this question. But Sole does sort of say:  You can split things up by claims, but we're not so keen on where -- on splitting things up temporally. Like, if you lost the permanent injunction, the fact that you've gotten three  years of excellent relief is just not going to get you any fees at all, right?"
36,2024.23-621-t01,petitioner,Elena Kagan," Okay. Now let's say there is no permanent injunction because the  neighbor dies or, you know, the stream goes dry, all right, and so all that's left is the preliminary injunction. The court could have done the same thing, you know, if it had gotten to the permanent injunction, which is to say no, but something just sort of fortuitous has happened to stop the case. Why does the -- why does the analysis change?"
37,2024.23-621-t01,petitioner,Elena Kagan," Well, he hasn't, because he did go to court to get the permanent thing. I mean, the preliminary injunction was a  kind of way station on the way to getting the permanent thing. But what he really wanted -- this is not the single parade, right?  What he really wanted was for you never  --for that stream that  -- those pollutants never to bother him. And, essentially, what Sole says is: Because you didn't get that, you don't get that way station re lief, right? And so  -- so I'm just sort of suggesting that take out the final determination and just say:  We never get to the final determination because of some fortuity. Why does all of a sudden he get the award for the way station?"
38,2024.23-621-t01,petitioner,Neil Gorsuch," Well, how  --how -- how is that?  I mean, the river runs dry. I came to court, on Justice Kagan's hypothetical, to seek an order against my neighbor to stop him from doing things, and I got a prelimin ary injunction, but then the river ran dry, and so the court dismissed it as moot. Now the -- the court has not adjudicated in a final way anybody's rights with respect to anything. And I didn't get the relief I came to court seeking. It was denied to me in the end in the final judgment. And we normally think of all preliminary orders in a case as merging into and superseded by the final judgment. And I think that's what Sole is driving at too. So help --help me out. I'm  -- I'm stuck where Justice Kagan is."
39,2024.23-621-t01,petitioner,Neil Gorsuch," Well, we also have after Buckhannon a pretty -- pretty pointed  example of them saying just the opposite, right? That if we're going to depart from the American rule and allow attorney's fees -- and, you know, one can be a  --a fan of the American rule or not, it doesn't really matter, but there it is. Congress spoke very clearly after Buckhannon to vindicate what Justice Ginsburg thought was appropriate in the FOIA context against the federal government. And, as the federal government points out, mightn't we expect Congress to be at least as clear when it's authorizing fees against other parties, including states?"
40,2024.23-621-t01,petitioner,Amy Coney Barrett," Counsel, I'd like to talk about the prevailing party for a minute. I mean, when you get a PI, you're not the prevailing party. The court has made a predictive judgment that you'll probably be the prevailing party, you know, and some circuits are still using this sliding scale. You know, you can't disregard the merits un der Winter, but, you know, you might have gotten the preliminary injunction because the equities were really strong, because maybe the pollution is running onto your property. And, I mean, I have not been a district judge, but, as someone who's dealt with our emergency docket, you know, you are making  those kinds of preliminary judgments in a -- in a very compressed time frame and it's like a 51 percent, like, as you showed, a reasonable likelihood of success. Why is that prevailing because a district court has made that judgment on a PI?"
41,2024.23-621-t01,petitioner,Amy Coney Barrett, Couldn't you have asked under Rule 65 to speed that up?
42,2024.23-621-t01,petitioner,Amy Coney Barrett," Had you  --did you have a motion -- oh, sorry, just one last question. Did you have a motion for summary judgment pending?  I just don't know the answer to that from  --"
43,2024.23-621-t01,petitioner,Sonia Sotomayor," That was the point. You did ask for it to be speeded up, and the Respond  -- and the Petitioners asked them to wait for the legislature to act, correct?"
44,2024.23-621-t01,petitioner,Ketanji Brown Jackson," I don't know why asking them to speed it up and have more process is the solution in an attorney's fees case. I mean, aren't you incurring more fees if we're going to have additional process?  And it -- it just seems odd to me that we'd be in a world in which, to avoid having attorney's fees on the lesser victory, we are encouraging additional litigation."
45,2024.23-621-t01,petitioner,"Samuel A. Alito, Jr.", Suppose you had requested nominal damages. Then what would have happened?
46,2024.23-621-t01,petitioner,"Samuel A. Alito, Jr."," All right. When there's not a state defendant then and you had a claim -- and the party has a claim for nominal  damages, but what it really wants is a preliminary injunction?  It gets the preliminary injunction, and then the case is litigated on the issue of whether the party's entitled to nominal damages. And at that point, the court changes its mind and says:  My interpretation of the law was incorrect when I issued the preliminary injunction. Then what happens?"
47,2024.23-621-t01,petitioner,"Samuel A. Alito, Jr."," Do you think your client under those circumstances would be very depressed?  Well, I got the preliminary  injunction, but what I really wanted was a dollar in nominal damages?"
48,2024.23-621-t01,petitioner,Brett M. Kavanaugh, Can you address the idea that the American rule should be a firm background principle and should  --we should require Congress to speak especially clearly when it wants to deviate from that and including the scope of how much Congress wants to deviate?
49,2024.23-621-t01,petitioner,Brett M. Kavanaugh," Well, why is that? Lots of times, we  -- we will say, with background principles of statutory  interpretation, to the extent, not just any deviation. So why couldn't you here too say to the extent Congress is deviating from the American rule, the background American rule, it needs to be clear?"
50,2024.23-621-t01,petitioner,Brett M. Kavanaugh," And then, relatedly, I guess, what about the separation of powers principle that Justice Gorsuch referred  to and Mr. Yang referred to, which is we should really leave  --when there's doubt, we should leave this to Congress to fix this?  In part,  the court of appeals story, while helpful to you in some respects, I think is unhelpful in the respect there are all sorts of different tests out there because they're just completely at sea in trying to figure out how to handle this. Do you just want to respond to that argument?"
51,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," Well, what -- what if you get a preliminary injunction and, under your rule, you get attorney's fees, okay,  but then the case continues on and you lose at the permanent -- you don't get a permanent injunction?  Do you have to give back the attorney's fees?"
52,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," Well, if that's the case, doesn't it make -- doesn't that undermine your argument?  In other words, it's a recognition that, of course, the preliminary injunction is not final and, therefore, the award of attorney's fees shouldn't be final."
53,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," So, when the statute says ""prevailing party,"" it's really saying including temporarily prevailing party?"
54,2024.23-621-t01,petitioner,Ketanji Brown Jackson," Is  -- is another way to address the Chief Justice's question that what we're looking for is whet her you are entitled to prevailing party status and that you can be deemed a prevailing party, you  --in your view, based on a preliminary injunction when you can  -- maybe sometimes you can't, you're -- you're -- you're not saying you always are -- you're just saying reject the statement that you can never be. So sometimes a preliminary win can confer prevailing party status, but the actual award of the fees that you would get happens when the case is over. At the end of the day, then the court goes back and we look how much attorney's time was put into it. As Justice Sotomayor points out, it's a  --you know, was it a reasonable fee request for that work that went into the PI?"
55,2024.23-621-t01,petitioner,Ketanji Brown Jackson," And  --and you can be divested. The reason why you wait until the end in part is because, even though you might have had prevailing party status in our view, your view, early on as a result of the PI, if the case continues and it's reversed, the -- the judgment that -- on the merit that made you a prevailing party to begin with, then, at the end of the day, when we're doing the calculation, we say, nope, you don't get prevailing party status at that point?"
56,2024.23-621-t01,petitioner,Ketanji Brown Jackson," -- is that if it's mooted, if nothing else happens, you retain your prevailing party status on the basis of that win?"
57,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," We've -- we've talked about preliminary injunction as a way in which you may be a prevailing party, even though you  -- not -- not final, but what about a discovery dispute?  What about the case turns on whether you can get access to particular documents, and you win on that?  You don't get a preliminary injunction. You obviously don't get a final injunction. But you won, you got  the documents, and then the case goes away, whatever, for whatever reason. Could you be awarded fees on that? You won a very significant motion."
58,2024.23-621-t01,petitioner,Ketanji Brown Jackson," And, of course, that's why you're saying sometimes a -- a PI may not confer prevailing party status?  That's an example?"
59,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," So your position is simply PI, it's either going to be a permanent injunction or it's going to be a preliminary injunction, and those are the only two things that could entitle you to attorney's fees?"
60,2024.23-621-t01,petitioner,"John G. Roberts, Jr.", Any other type of relief doesn't count as prevailing?
61,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," Well, in the one case  --I guess I still don't have -- understand the answer. The alter -- material alteration in my hypothetical is you have access to the documents. That's a material alteration. But that doesn't entitle you to attorney's fees?"
62,2024.23-621-t01,petitioner,Neil Gorsuch," Counsel, you keep coming to the material alteration of the parties' relationship in responding to the Chief Justice and others. I would have thought that that was exactly the argument made in Sole and in our hypothetical that Justice Kagan and I discussed. For a period of time, there was a material alteration in the relationship between the parties, but that's not enough. It's got to be a final, at the -- when the matter comes to rest, that -- that's the implication of a prevailing party as traditionally understood, is the one who wins in the end, not temporarily. And -- and so are you really just asking -- are you fighting with Sole, which says even a material alteration temporarily that is subsequently withdrawn doesn't count, right?"
63,2024.23-621-t01,petitioner,Neil Gorsuch, So it can't be just a material alteration. There has to be something more. And why isn't that something more the final judgment?
64,2024.23-621-t01,petitioner,Neil Gorsuch," At the end -- so we do have to look at the end of the case and see what the court said at the end of the case, right?"
65,2024.23-621-t01,petitioner,Neil Gorsuch," No, no, no, no, no, no. No implication. I'm looking at the  judgment because I'm supposed to look at the judgment, the final judgment, prevailing party. Who wins at the end?  The court says case dismissed."
66,2024.23-621-t01,petitioner,Sonia Sotomayor, What do you do with a dismissal that's Munsingwear that vacates the preliminary injunction?
67,2024.23-621-t01,petitioner,Sonia Sotomayor," I  --I'm not saying that. I'm just asking the question,  which is, if a court doesn't believe that you -- that it should continue an injunction, it'll vacate it, correct?"
68,2024.23-621-t01,petitioner,Neil Gorsuch," Well, when you dismiss a case, the PI disappears. What's the difference?  It's merged into the final judgment. Do I need to say I withdraw my PI? No. A district judge says case dismissed."
69,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," Counsel, I see your red light is on. Justice Kavanaugh, anything? (Laughter.)"
70,2024.23-621-t01,petitioner,Clarence Thomas," Just as a recap, what's your definition of ""prevailing party""?"
71,2024.23-621-t01,petitioner,Clarence Thomas," So I still don't understand then your answer when the neighbor dies. It's still unreversed, right?"
72,2024.23-621-t01,petitioner,Clarence Thomas, Is there any other interlocutory relief that could support a  prevailing party other than preliminary injunction?
73,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," Justice Alito? Justice Kavanaugh? Justice Gorsuch? Justice Kavanaugh? Justice Jackson? Thank you, counsel."
74,2024.23-365 -t01,petitioner,Clarence Thomas," What does it mean to be injured, someone to be injured, in his business?"
75,2024.23-365 -t01,petitioner,Clarence Thomas, Can loss of employment ever constitute a injury in business?
76,2024.23-365 -t01,petitioner,Sonia Sotomayor," -- isn't that an issue or shouldn't it be an issue of proximate cause, which wasn't reached in this case, correct?"
77,2024.23-365 -t01,petitioner,Elena Kagan," If you're harmed when you lose a job, then you've been injured in your business, haven't you?  I mean, just as -- I -- I guess what I'm saying is the simplest, clearest reading of this statutory language is it doesn't -- it doesn't distinguish by what causes the harm. It  just says, if you're harmed in a way that's in your business or property, which has been understood to include being harmed by loss of a  job, and that's by reason of a violation of Section 1962, then you're entitled to threefold the damages you would otherwise be  --"
78,2024.23-365 -t01,petitioner,Amy Coney Barrett," Ms. Blatt, can I ask you where you get your definition of ""legal injury""?  I mean, are you looking at just kind of general tort principles?  I guess I'm having a hard time figuring out exactly how you look at it and define it."
79,2024.23-365 -t01,petitioner,Amy Coney Barrett," Where does the ""legal"" in the ""legal right"" come from?  Are you looking kind of at general principles?  You're just looking at the nature of the harm?  Does it help you in terms of property or --"
80,2024.23-365 -t01,petitioner,Ketanji Brown Jackson," Yeah, but those are in other counts. Those are in the personal injury counts. And I think that matters, right?"
81,2024.23-365 -t01,petitioner,Ketanji Brown Jackson," But does your test need to rely on the consumption?  I mean, suppose there was  --suppose the employer's rule."
82,2024.23-365 -t01,petitioner,Ketanji Brown Jackson," All right?  So suppose we have the same basic situation, but the employer's rule is that you can't possess --"
83,2024.23-365 -t01,petitioner,Ketanji Brown Jackson, Does he have a RICO claim or not under those circumstances?
84,2024.23-365 -t01,petitioner,Elena Kagan," And -- and isn't that essentially what's wrong with this case too, is what Justice Sotomayor was suggesting?"
85,2024.23-365 -t01,petitioner,Brett M. Kavanaugh," -- on Justice Barrett's question?  Because I think the other side says that injury, just ordinary meaning, means harm."
86,2024.23-365 -t01,petitioner,Brett M. Kavanaugh, -- in tort law. Can you elaborate on why injury does not equal harm?  Because that's --
87,2024.23-365 -t01,petitioner,Ketanji Brown Jackson, But why is this a damage from personal injury?  That's the part I don't understand. He's not claiming that he got  ill because of the product. He's not saying he was personally injured. He didn't even know --
88,2024.23-365 -t01,petitioner,Ketanji Brown Jackson," But why are you saying that?  You can -- I mean, you're just saying that. I'm asking you, you know --"
89,2024.23-365 -t01,petitioner,Ketanji Brown Jackson," -- there are -- there are personal injury claims that derive  from a person being harmed by -- by the ingestion of the product, right?  They're bodily, physically harmed because they have taken this thing. I don't read this claim to be that kind of injury. He's not saying that the  product itself injured him in any way."
90,2024.23-365 -t01,petitioner,Neil Gorsuch," So even Homer nods, the great Areeda and Hovenkamp treatise wrong?"
91,2024.23-365 -t01,petitioner,Ketanji Brown Jackson," Ms. Blatt, aren't you estopped from claiming that he has a personal injury here when below you argued or  your client argued that he had no personal injury, which is why all the personal injury claims were dismissed?"
92,2024.23-365 -t01,petitioner,Brett M. Kavanaugh, Do you want to respond to their invocation of the liberal construction canon?
93,2024.23-365 -t01,petitioner,"John G. Roberts, Jr."," Thank you, counsel. Justice Thomas, anything? Justice Alito?"
94,2024.23-365 -t01,petitioner,"Samuel A. Alito, Jr."," Well, you say that under RICO, injury is ""the invasion of a legal right.""  So how would we go about determining  whether something is a legal right for this purpose?"
95,2024.23-365 -t01,petitioner,Sonia Sotomayor, But that goes back to what Justice Jackson and  -- and what I tried earlier and Justice Kagan point out:  You're trying to say there's a difference between the two. But we've made very clear in WesternGeco there isn't. Injury is where you feel the harm. Now the question is:  What's the harm?
96,2024.23-365 -t01,petitioner,"John G. Roberts, Jr.", Justice Kagan? Justice Gorsuch? Justice Kavanaugh? Justice Jackson?
97,2024.23-365 -t01,petitioner,Ketanji Brown Jackson, Can I just ask you about a hypo?  Because I'm still trying to understand your rule. You seem to be suggesting that the mere existence of physical harm renders any business injury not compensable. Is that  -- is that the  --do I have the sum total of your --
98,2024.23-365 -t01,petitioner,Ketanji Brown Jackson," -- and so, here, you say he took the drugs and that was an injury. And he says:  I was also fired. Why isn't that  two injuries too?"
99,2024.23-365 -t01,petitioner,Ketanji Brown Jackson," But this is -- imagine that this is not damages in the following sense, all right?  If we have a case  in which he takes the drugs --"
100,2024.23-365 -t01,respondent,Clarence Thomas, Is the loss of income from being fired an injury in business?
101,2024.23-365 -t01,respondent,Clarence Thomas, And is -- what's the difference between injury and damages?
102,2024.23-365 -t01,respondent,Clarence Thomas," So, if the harm is a loss of income, aren't you collapsing or conflating the two?"
103,2024.23-365 -t01,respondent,"John G. Roberts, Jr."," Counsel, I understood the business-or-property limitation as having been intended to be a significant limitation on the reach of RICO. Your friend said that your position would make every slip and fall a RICO violation. Why isn't that the case?"
104,2024.23-365 -t01,respondent,"John G. Roberts, Jr."," You mean  --by ""this guardrail,"" you mean the business-or-property restriction?"
105,2024.23-365 -t01,respondent,Brett M. Kavanaugh, Do you agree that the statute excludes damages for personal injuries?
106,2024.23-365 -t01,respondent,Brett M. Kavanaugh," And the question is whether -- I think the question and the problem here that we have to figure out is, when you characterize them, if they are damages from personal injury, can you just recharacterize them as injury to business or property and get around, as the Chief Justice's point, the limitation that Congress at least thought was important?"
107,2024.23-365 -t01,respondent,Brett M. Kavanaugh," Just to close it out, you're okay if we say injury is the invasion of legal right?"
108,2024.23-365 -t01,respondent,Neil Gorsuch," Ms. Anand, just a couple quick questions. First, in your dialogue with Justice Kavanaugh, there was some discussion of lost wages and medical expenses. Do you think medical expenses are recoverable as well as lost wages under business  and property?"
109,2024.23-365 -t01,respondent,Neil Gorsuch, And would you  -- would you encourage us to do so here?
110,2024.23-365 -t01,respondent,Neil Gorsuch," Okay. All right. And the second question:  There was an extensive dialogue about the car wash hypothetical and the kidnapping hypothetical, and if I understood Ms. Blatt, her argument, it goes something like this:  that there are two injuries, however characterized, whether as a harm or an invasion  of a legal right. One is the assault or the kidnapping. The other is the act of extortion. And only the latter is recoverable, and it isn't a causation question so much as the nature of the injury in those two cases. Your best response?"
111,2024.23-365 -t01,respondent,Neil Gorsuch, That the assault in -- in the car wash hypothetical and the kid -- act of kidnapping in the kidnapping hypothetical may or may not be recoverable depending upon whether they're proximately related to the extortion acts in both cases?
112,2024.23-365 -t01,respondent,"Samuel A. Alito, Jr."," If we agree with your reasoning but reserve the question of the coverage of medical expenses, would there, in  a later case, be a principled basis for drawing that distinction, or would we be effectively deciding that by agreeing with your reasoning?"
113,2024.23-365 -t01,respondent,"Samuel A. Alito, Jr."," One other question. There's been talk about proximate cause. I assume you believe on remand you can show that the injury here, the lost wages, were proximately caused. Could you explain why?"
114,2024.23-365 -t01,respondent,Amy Coney Barrett," Ms. Anand, it seems to me -- and  --and, you know, I just would like to get your take on this -- that Medical Marijuana has litigated this case differently than it was framed below and differently than the circuits that are on its side of the split in this definition of ""injury.""  You know, the  Second Circuit said:  Well, if personal injury is the derivative of the property damage, it doesn't count. As you said and as Justice Kagan said when she was going back and forth with Ms. Blatt, proximate cause seems a natural home for this. I mean, what do you think?  I mean, can you point to developed ideas in the courts of appeals about how to define this injury? This idea of looking to a federal definition  of it, looking to Restatements, I mean, in your view, are there circuits that are actually doing that?"
115,2024.23-365 -t01,respondent,Amy Coney Barrett," So, in your view, Medical Marijuana's theory of the case is kind of novel?"
116,2024.23-365 -t01,respondent,Ketanji Brown Jackson," Ms. Anand, did your client suffer a personal injury that caused his firing and lost wages?"
117,2024.23-365 -t01,respondent,Ketanji Brown Jackson," -- in seeking to dismiss all of the personal injury claims, correct?"
118,2024.23-365 -t01,respondent,Neil Gorsuch," Well, why wouldn't there be a personal injury, though?  Just -- you  -- there's a failure to warn that this product contains ingredients that your -- your  --your client didn't know about and should have known about and had a right to know about. I would have thought that that would have been kind of a classic personal injury."
119,2024.23-365 -t01,respondent,Neil Gorsuch," No, I understand. But this is  -- this --that was your theory below?"
120,2024.23-365 -t01,respondent,"John G. Roberts, Jr."," Thank you, counsel. A big part of your answer in your dialogue with Justice Scalia to why this  -- why we shouldn't worry about the expansion of RICO that your -- your friend suggests might follow is that you have to show proximate cause. And I -- I don't quite remember your formulation. I'm sure it was carefully guarded. But you  -- you --you suggested that that w as going to be hard to do, right?  Tell me again why that is."
121,2024.23-365 -t01,respondent,"John G. Roberts, Jr."," Well, what's so hard about that?  In other words, if you're concerned about the reach of your argument and your  answer is, don't worry, we have to show proximate cause, that seems like a pretty normal proximate cause argument."
122,2024.23-365 -t01,respondent,"Samuel A. Alito, Jr."," Well, just out  of curiosity, why do you think you're going to face a heavy burden on remand to show foreseeability? Wouldn't you argue that a company that advertises its product as being completely free of THC, not just that it has only such an infinitesimal amount that it's not going to get people high, but it is completely free of T HC, is appealing to a category of potential customers who, for some reason, want to make sure that they don't ingest even a tiny, tiny amount of -- of THC? And when someone who purchases the product then suffers the consequences of having a very small amount of THC in that person's system, that is an entirely foreseeable result?"
